movie_id,title,overview,vote_average,poster_path,genres,director,actors,vader_sentiment
1339713,Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",8.203,/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,Horror|Thriller,Curry Barker,Michael Johnston|Inde Navarrette|Cooper Tomlinson|Megan Lawless|Andy Richter,-0.5023
1202033,Enola Holmes 3,"Adventure follows detective Enola Holmes to Malta, where her plans to tie the knot unravel when Sherlock's disappearance plunges her into a perilous case.",7.111,/7kRYHH9H9PjBFwz1FprbHB2AAjI.jpg,Adventure|Crime|Mystery|Action,Philip Barantini,Millie Bobby Brown|Henry Cavill|Helena Bonham Carter|Louis Partridge|Himesh Patel,0.3182
1314481,The Devil Wears Prada 2,"Andy Sachs returns to Runway as Miranda Priestly navigates a new media landscape and Runway's position within. The duo reconnect with former assistant Emily Charlton, now the head of a luxury brand that possesses funding which could ensure Runway's survival.",6.906,/fCAURTUx3YfsJ8k9I0UamjSILiR.jpg,Comedy|Drama,David Frankel,Meryl Streep|Anne Hathaway|Emily Blunt|Stanley Tucci|Kenneth Branagh,0.3818
1315772,Minions & Monsters,"This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created.",6.653,/nz7i42yhLIJ4ve9JKgM6NthoLHO.jpg,Adventure|Animation|Comedy|Family|Fantasy,Pierre Coffin,Pierre Coffin|Trey Parker|Allison Janney|Christoph Waltz|Jeff Bridges,0.5413
1083381,Backrooms,A strange doorway appears in the basement of a furniture showroom.,6.858,/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg,Horror|Mystery|Science Fiction,Kane Parsons,Chiwetel Ejiofor|Renate Reinsve|Mark Duplass|Finn Bennett|Lukita Maxwell,-0.2023
1081003,Supergirl,"When an unexpected and ruthless adversary strikes too close to home, Kara Zor-El, aka Supergirl, reluctantly joins forces with an unlikely companion on an epic, interstellar journey of vengeance and justice.",6.261,/niSvU02l2BONH9ivubV6K1a5QiK.jpg,Action|Adventure|Science Fiction,Craig Gillespie,Milly Alcock|Eve Ridley|Matthias Schoenaerts|Jason Momoa|David Krumholtz,-0.0772
1084244,Toy Story 5,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",7.428,/pxG26JdyuiDvJbSoucknaFiLeZD.jpg,Animation|Family|Comedy|Adventure,Andrew Stanton,Tom Hanks|Tim Allen|Joan Cusack|Greta Lee|Conan O'Brien,-0.296
1301421,The Sheep Detectives,"George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers.",7.759,/iKy5460GdsoknM8ppmGlJbKxAKa.jpg,Adventure|Mystery|Comedy|Family,Kyle Balda,Hugh Jackman|Julia Louis-Dreyfus|Emma Thompson|Nicholas Braun|Chris O'Dowd,0.7269
1413976,Citizen Vigilante,"A man takes justice into his own hands, hunting down criminals. His vigilante crusade makes him a social media star but puts him at odds with the local police chief.",6.637,/6LmJD3Wohe0g4U62wgi7RyJqfE4.jpg,Thriller|Action|Crime,Uwe Boll,Armie Hammer|Costas Mandylor|Désirée Giorgetti|Steffen Mennekes|Neb Chupin,-0.0387
1108427,Moana,"Moana answers the Ocean's call and, for the first time, voyages beyond the reef of her island of Motunui with the infamous demigod Maui on an unforgettable journey to restore prosperity to her people.",7.5,/zKVgiv5qHCvCLT4A2ymJi5QeXDH.jpg,Family|Fantasy|Comedy|Adventure,Thomas Kail,Catherine Lagaʻaia|Dwayne Johnson|Rena Owen|John Tui|Frankie Adams,0.296
969681,Spider-Man: Brand New Day,Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,0.0,/yyB2VJEW3an2xCdcYCPQhn9QERR.jpg,Science Fiction|Action|Adventure,Destin Daniel Cretton,Tom Holland|Zendaya|Sadie Sink|Jacob Batalon|Jon Bernthal,-0.9091
1397385,Little Brother,"A tightly wound realtor's picture-perfect life gets an extreme makeover when his lovably chaotic ""little brother"" suddenly reappears.",6.3,/hIJpXb7Xaje2mebN9ylsS7blQzP.jpg,Comedy,Matt Spicer,John Cena|Eric André|Michelle Monaghan|Christopher Meloni|Sherry Cola,-0.4939
1368337,The Odyssey,"Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.",0.0,/5rhTDKUhPYvpdQIijFIs5VoWsON.jpg,Adventure|Action|Fantasy,Christopher Nolan,Matt Damon|Tom Holland|Anne Hathaway|Robert Pattinson|Lupita Nyong'o,-0.8225
687163,Project Hail Mary,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",8.683,/yihdXomYb5kTeSivtFndMy5iDmf.jpg,Science Fiction|Adventure,Phil Lord,Ryan Gosling|Sandra Hüller|James Ortiz|Lionel Boyce|Milana Vayntrub,0.1779
936075,Michael,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",8.703,/zm0KAbOjlt9eR5y7vDiL2dEOwMl.jpg,Music|Drama,Antoine Fuqua,Jaafar Jackson|Colman Domingo|Nia Long|Juliano Krue Valdi|Miles Teller,0.9336
